pick,ev,rib_low,rib_high,pos_group,era
1,34.0,25.1044,42.8956,EDGE,2006–2015
2,25.0,16.1044,33.8956,EDGE,2006–2015
3,24.6,15.7044,33.4956,EDGE,2006–2015
4,24.6,15.7044,33.4956,EDGE,2006–2015
5,24.6,15.7044,33.4956,EDGE,2006–2015
6,24.6,15.7044,33.4956,EDGE,2006–2015
7,24.6,15.7044,33.4956,EDGE,2006–2015
8,24.6,15.7044,33.4956,EDGE,2006–2015
11,24.6,15.7044,33.4956,EDGE,2006–2015
13,24.6,15.7044,33.4956,EDGE,2006–2015
14,24.6,15.7044,33.4956,EDGE,2006–2015
15,24.6,15.7044,33.4956,EDGE,2006–2015
16,22.33333333333333,13.437733333333332,31.22893333333333,EDGE,2006–2015
17,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
18,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
19,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
20,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
21,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
22,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
23,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
24,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
25,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
26,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
28,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
31,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
32,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
34,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
37,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
38,18.572916666666664,9.677316666666664,27.468516666666662,EDGE,2006–2015
40,15.066666666666666,6.1710666666666665,23.962266666666665,EDGE,2006–2015
43,15.066666666666666,6.1710666666666665,23.962266666666665,EDGE,2006–2015
44,15.066666666666666,6.1710666666666665,23.962266666666665,EDGE,2006–2015
46,15.066666666666666,6.1710666666666665,23.962266666666665,EDGE,2006–2015
50,15.066666666666666,6.1710666666666665,23.962266666666665,EDGE,2006–2015
51,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
52,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
53,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
54,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
56,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
57,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
58,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
59,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
60,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
63,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
65,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
66,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
67,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
70,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
71,11.8,2.9044000000000008,20.6956,EDGE,2006–2015
72,10.466666666666669,1.5710666666666668,19.362266666666667,EDGE,2006–2015
74,10.466666666666669,1.5710666666666668,19.362266666666667,EDGE,2006–2015
79,10.466666666666669,1.5710666666666668,19.362266666666667,EDGE,2006–2015
81,10.466666666666669,1.5710666666666668,19.362266666666667,EDGE,2006–2015
82,10.466666666666669,1.5710666666666668,19.362266666666667,EDGE,2006–2015
83,10.466666666666669,1.5710666666666668,19.362266666666667,EDGE,2006–2015
84,10.466666666666669,1.5710666666666668,19.362266666666667,EDGE,2006–2015
86,10.466666666666669,1.5710666666666668,19.362266666666667,EDGE,2006–2015
88,10.466666666666669,1.5710666666666668,19.362266666666667,EDGE,2006–2015
89,10.466666666666669,1.5710666666666668,19.362266666666667,EDGE,2006–2015
90,6.1,-2.7956000000000003,14.9956,EDGE,2006–2015
91,6.1,-2.7956000000000003,14.9956,EDGE,2006–2015
92,6.1,-2.7956000000000003,14.9956,EDGE,2006–2015
93,6.1,-2.7956000000000003,14.9956,EDGE,2006–2015
97,6.1,-2.7956000000000003,14.9956,EDGE,2006–2015
1,39.0,31.75997,46.24003,EDGE,2016–2024
2,22.83333333333333,15.593303333333331,30.073363333333333,EDGE,2016–2024
3,22.83333333333333,15.593303333333331,30.073363333333333,EDGE,2016–2024
4,22.83333333333333,15.593303333333331,30.073363333333333,EDGE,2016–2024
5,22.83333333333333,15.593303333333331,30.073363333333333,EDGE,2016–2024
7,22.83333333333333,15.593303333333331,30.073363333333333,EDGE,2016–2024
9,22.83333333333333,15.593303333333331,30.073363333333333,EDGE,2016–2024
14,18.0,10.75997,25.24003,EDGE,2016–2024
16,18.0,10.75997,25.24003,EDGE,2016–2024
17,18.0,10.75997,25.24003,EDGE,2016–2024
19,17.0,9.75997,24.24003,EDGE,2016–2024
20,16.25,9.00997,23.49003,EDGE,2016–2024
22,16.25,9.00997,23.49003,EDGE,2016–2024
26,16.25,9.00997,23.49003,EDGE,2016–2024
28,16.25,9.00997,23.49003,EDGE,2016–2024
29,16.25,9.00997,23.49003,EDGE,2016–2024
30,16.25,9.00997,23.49003,EDGE,2016–2024
31,13.2,5.959969999999999,20.44003,EDGE,2016–2024
32,13.2,5.959969999999999,20.44003,EDGE,2016–2024
33,13.2,5.959969999999999,20.44003,EDGE,2016–2024
