player_name,draft_year,round,pick,team,pos_group,apy_m,av_y1_4,roi,surplus,era
Luke Joeckel,2013,1,2,JAX,OL,5.3004,17.0,3.2073051090483737,-12.269607843137251,2006–2015
Lane Johnson,2013,1,4,PHI,OL,4.963276,23.0,4.634036068113077,-6.269607843137251,2006–2015
Jonathan Cooper,2013,1,7,ARI,OL,3.63725,8.0,2.1994638806790845,-21.26960784313725,2006–2015
Chance Warmack,2013,1,10,TEN,OL,3.041662,21.0,6.90412018166384,-8.269607843137251,2006–2015
D.J. Fluker,2013,1,11,SDG,OL,2.850625,31.0,10.874808156106118,1.7303921568627487,2006–2015
Justin Pugh,2013,1,19,NYG,OL,3.43338,24.0,6.990196249759712,-3.75,2006–2015
Kyle Long,2013,1,20,CHI,OL,2.075238,36.0,17.347407863579985,8.25,2006–2015
Travis Frederick,2013,1,31,DAL,OL,1.717507,45.0,26.200766576206096,17.813333333333333,2006–2015
Menelik Watson,2013,2,42,OAK,OL,1.198713,7.0,5.839596300365476,-16.204861111111104,2006–2015
Larry Warford,2013,3,65,DET,OL,0.76875,28.0,36.42276422764228,12.574074074074073,2006–2015
Brian Winters,2013,3,72,NYJ,OL,0.725969,17.0,23.416977859936168,1.5740740740740726,2006–2015
Terron Armstead,2013,3,75,NOR,OL,0.716859,22.0,30.6894382298332,6.574074074074073,2006–2015
Dallas Thomas,2013,3,77,MIA,OL,0.711594,13.0,18.268844312908765,-2.425925925925928,2006–2015
Hugh Thornton,2013,3,86,IND,OL,0.683845,17.0,24.85943452098063,5.25,2006–2015
Greg Robinson,2014,1,2,STL,OL,5.321025,17.0,3.1948731682335643,-12.269607843137251,2006–2015
Jake Matthews,2014,1,6,ATL,OL,4.107375,35.0,8.521257494141635,5.730392156862749,2006–2015
Taylor Lewan,2014,1,11,TEN,OL,2.871251,29.0,10.10012708746118,-0.2696078431372513,2006–2015
Zack Martin,2014,1,16,DAL,OL,2.24195,52.0,23.19409442672673,22.73039215686275,2006–2015
Ja'Wuan James,2014,1,19,MIA,OL,3.55388,22.0,6.19041723412158,-5.75,2006–2015
Xavier Su'a-Filo,2014,2,33,HOU,OL,1.3879,18.0,12.969234094675407,-5.204861111111104,2006–2015
Joel Bitonio,2014,2,35,CLE,OL,1.365425,18.0,13.182708680447478,-5.204861111111104,2006–2015
Weston Richburg,2014,2,43,NYG,OL,1.219337,23.0,18.86270981689229,-0.2048611111111036,2006–2015
Cyrus Kouandjio,2014,2,44,BUF,OL,1.202205,6.0,4.990829351067414,-17.204861111111104,2006–2015
Jack Mewhort,2014,2,59,IND,OL,0.89345,23.0,25.7429067099446,1.1333333333333329,2006–2015
Justin Britt,2014,2,64,SEA,OL,0.864233,32.0,37.02705173257674,11.833333333333332,2006–2015
Morgan Moses,2014,3,66,WAS,OL,1.039894,26.0,25.002548336657387,10.574074074074073,2006–2015
Billy Turner,2014,3,67,MIA,OL,0.786625,6.0,7.62752264420785,-9.425925925925927,2006–2015
Marcus Martin,2014,3,70,SFO,OL,0.767313,11.0,14.335740434477197,-4.425925925925927,2006–2015
Travis Swanson,2014,3,76,DET,OL,0.739243,21.0,28.40743842011355,5.574074074074073,2006–2015
Spencer Long,2014,3,78,WAS,OL,0.71595,17.0,23.744674907465605,1.5740740740740726,2006–2015
Gabe Jackson,2014,3,81,OAK,OL,0.714094,25.0,35.00939652202651,9.574074074074073,2006–2015
Chris Watt,2014,3,89,SDG,OL,0.70416,5.0,7.100658941149739,-6.266666666666666,2006–2015
Trai Turner,2014,3,92,CAR,OL,0.697868,30.0,42.988072242888336,18.73333333333333,2006–2015
Brandon Linder,2014,3,93,JAX,OL,0.6974,19.0,27.244049326068254,7.733333333333334,2006–2015
Michael Schofield,2014,3,95,DEN,OL,0.6943,15.0,21.604493734696817,5.5,2006–2015
Brandon Scherff,2015,1,5,WAS,OL,5.30391,32.0,6.033284878514152,2.7303921568627487,2006–2015
Ereck Flowers,2015,1,9,NYG,OL,3.597958,22.0,6.114579436447007,-7.269607843137251,2006–2015
Andrus Peat,2015,1,13,NOR,OL,2.848374,33.0,11.585557233705966,3.7303921568627487,2006–2015
Cameron Erving,2015,1,19,CLE,OL,2.357267,18.0,7.6359614757259155,-9.75,2006–2015
Cedric Ogbuehi,2015,1,21,CIN,OL,2.331421,11.0,4.718152577333737,-16.186666666666667,2006–2015
D.J. Humphries,2015,1,24,ARI,OL,2.228028,11.0,4.937101329067677,-16.186666666666667,2006–2015
Laken Tomlinson,2015,1,28,DET,OL,2.137562,27.0,12.6312125683372,-0.1866666666666674,2006–2015
Donovan Smith,2015,2,34,TAM,OL,1.517215,30.0,19.773071054530835,6.795138888888896,2006–2015
Mitch Morse,2015,2,49,KAN,OL,1.168271,25.0,21.399144547797555,1.7951388888888964,2006–2015
Jake Fisher,2015,2,53,CIN,OL,1.06488,9.0,8.451656524678837,-14.204861111111104,2006–2015
Rob Havenstein,2015,2,57,STL,OL,0.992505,28.0,28.211444778615725,4.795138888888896,2006–2015
Ty Sambrailo,2015,2,59,DEN,OL,0.961489,10.0,10.40053500352058,-11.866666666666667,2006–2015
Ali Marpet,2015,2,61,TAM,OL,0.943397,26.0,27.55997740081853,5.833333333333332,2006–2015
Jeremiah Poutasi,2015,3,66,TEN,OL,0.846461,3.0,3.54416801246602,-12.425925925925927,2006–2015
A.J. Cann,2015,3,67,JAX,OL,0.843149,27.0,32.0228097287668,11.574074074074073,2006–2015
Hroniss Grasu,2015,3,71,CHI,OL,0.814855,7.0,8.590485423787054,-8.425925925925927,2006–2015
Jamon Brown,2015,3,72,STL,OL,0.812744,18.0,22.14719518077033,2.5740740740740726,2006–2015
John Miller,2015,3,81,BUF,OL,0.76378,21.0,27.49482835371442,5.574074074074073,2006–2015
Chaz Green,2015,3,91,DAL,OL,0.737818,5.0,6.776738978989399,-6.266666666666666,2006–2015
Ronnie Stanley,2016,1,6,BAL,OL,5.121083,38.0,7.420305431487832,14.25,2016–2024
Jack Conklin,2016,1,8,TEN,OL,3.974415,34.0,8.554718115747852,15.666666666666668,2016–2024
Laremy Tunsil,2016,1,13,MIA,OL,3.114413,28.0,8.990458234023555,14.49122807017544,2016–2024
Taylor Decker,2016,1,16,DET,OL,2.741745,25.0,9.118280511134332,11.49122807017544,2016–2024
Ryan Kelly,2016,1,18,IND,OL,2.612747,29.0,11.09942906833306,15.49122807017544,2016–2024
Joshua Garnett,2016,1,28,SFO,OL,2.326078,5.0,2.1495409870176325,-8.50877192982456,2016–2024
Germain Ifedi,2016,1,31,SEA,OL,2.066277,31.0,15.00282875916443,17.49122807017544,2016–2024
Jason Spriggs,2016,2,48,GNB,OL,1.251075,8.0,6.39450072937274,-2.7549019607843146,2016–2024
Nick Martin,2016,2,50,HOU,OL,1.193743,22.0,18.42942743957452,11.245098039215684,2016–2024
Cody Whitehair,2016,2,56,CHI,OL,1.056142,28.0,26.51158651014731,17.245098039215684,2016–2024
Max Tuerk,2016,3,66,SDG,OL,0.894255,0.0,0.0,-10.044444444444444,2016–2024
Shon Coleman,2016,3,76,CLE,OL,0.819704,6.0,7.31971540946488,-4.044444444444444,2016–2024
Joe Thuney,2016,3,78,NWE,OL,0.803357,38.0,47.30151103432223,27.95555555555556,2016–2024
Isaac Seumalo,2016,3,79,PHI,OL,0.800216,15.0,18.744938866506043,4.955555555555556,2016–2024
Le'Raven Clark,2016,3,82,IND,OL,0.785683,9.0,11.455001571880771,-1.0444444444444445,2016–2024
Graham Glasgow,2016,3,95,DET,OL,0.75948,27.0,35.5506399115184,20.38888888888889,2016–2024
Rees Odhiambo,2016,3,97,SEA,OL,0.756855,4.0,5.285028175806461,0.5,2016–2024
Garett Bolles,2017,1,20,DEN,OL,2.758034,28.0,10.152159110438811,14.49122807017544,2016–2024
Ryan Ramczyk,2017,1,32,NOR,OL,2.222953,54.0,24.29201157199455,40.49122807017544,2016–2024
Cam Robinson,2017,2,34,JAX,OL,1.754532,21.0,11.969003700132,7.49122807017544,2016–2024
Forrest Lamp,2017,2,38,LAC,OL,1.666727,9.0,5.399804527076119,-1.7549019607843146,2016–2024
Ethan Pocic,2017,2,58,SEA,OL,1.102259,16.0,14.515644689678195,5.245098039215685,2016–2024
Dion Dawkins,2017,2,63,BUF,OL,1.045809,25.0,23.90493866470837,14.245098039215684,2016–2024
Taylor Moton,2017,2,64,CAR,OL,1.039538,23.0,22.12521331591534,12.245098039215684,2016–2024
Pat Elflein,2017,3,70,MIN,OL,0.93696,25.0,26.682035519125684,14.955555555555556,2016–2024
Dan Feeney,2017,3,71,LAC,OL,0.932908,30.0,32.15751178036848,19.95555555555556,2016–2024
Quenton Nelson,2018,1,6,IND,OL,5.972228,45.0,7.534876431375359,21.25,2016–2024
Mike McGlinchey,2018,1,9,SFO,OL,4.585469,21.0,4.579684215507727,2.666666666666668,2016–2024
Kolton Miller,2018,1,15,OAK,OL,3.367827,21.0,6.235474684418172,7.49122807017544,2016–2024
Frank Ragnow,2018,1,20,DET,OL,2.945035,23.0,7.809754383224648,9.49122807017544,2016–2024
Billy Price,2018,1,21,CIN,OL,2.928123,10.0,3.4151570818575587,-3.50877192982456,2016–2024
Isaiah Wynn,2018,1,23,NWE,OL,2.860478,8.0,2.796735370801663,-5.50877192982456,2016–2024
Austin Corbett,2018,2,33,CLE,OL,1.879599,12.0,6.384340489646994,-1.50877192982456,2016–2024
Will Hernandez,2018,2,34,NYG,OL,1.862685,19.0,10.200329094828165,5.49122807017544,2016–2024
Braden Smith,2018,2,37,IND,OL,1.798422,22.0,12.23294643860006,11.245098039215684,2016–2024
James Daniels,2018,2,39,CHI,OL,1.737539,13.0,7.481846450640821,2.2450980392156854,2016–2024
Connor Williams,2018,2,50,DAL,OL,1.372249,18.0,13.11715293652974,7.245098039215685,2016–2024
Brian O'Neill,2018,2,62,MIN,OL,1.10166,21.0,19.06214258482653,10.245098039215684,2016–2024
Brandon Parker,2018,3,65,OAK,OL,1.023834,9.0,8.790487520437884,-1.0444444444444445,2016–2024
Geron Christian,2018,3,74,WAS,OL,0.993091,4.0,4.027828265486245,-6.044444444444444,2016–2024
Martinas Rankin,2018,3,80,HOU,OL,0.886567,7.0,7.895624357775555,-3.0444444444444443,2016–2024
Orlando Brown Jr.,2018,3,83,BAL,OL,,30.0,,19.95555555555556,2016–2024
Joseph Noteboom,2018,3,89,LAR,OL,0.863011,9.0,10.428604038650723,2.3888888888888893,2016–2024
Chukwuma Okorafor,2018,3,92,PIT,OL,0.851841,9.0,10.56535198470137,2.3888888888888893,2016–2024
Alex Cappa,2018,3,94,TAM,OL,0.842176,18.0,21.37320465080933,11.38888888888889,2016–2024
Mason Cole,2018,3,97,ARI,OL,0.805379,13.0,16.141468799161636,9.5,2016–2024
Jonah Williams,2019,1,11,CIN,OL,4.407542,4.0,0.9075353110645344,-9.50877192982456,2016–2024
Chris Lindstrom,2019,1,14,ATL,OL,3.677189,11.0,2.991415453489065,-2.50877192982456,2016–2024
Garrett Bradbury,2019,1,18,MIN,OL,3.220718,16.0,4.967836364437992,2.49122807017544,2016–2024
Andre Dillard,2019,1,22,PHI,OL,3.092903,3.0,0.9699625238812856,-10.50877192982456,2016–2024
Tytus Howard,2019,1,23,HOU,OL,3.056388,11.0,3.5990194962157944,-2.50877192982456,2016–2024
Kaleb McGary,2019,1,31,ATL,OL,2.566436,15.0,5.844681106405926,1.49122807017544,2016–2024
Jawaan Taylor,2019,2,35,JAX,OL,1.960856,13.0,6.629757616061557,0.0,2016–2024
Greg Little,2019,2,37,CAR,OL,1.909731,3.0,1.570901870472857,-7.754901960784315,2016–2024
Cody Ford,2019,2,38,BUF,OL,1.876868,9.0,4.795222679485185,-1.7549019607843146,2016–2024
Dalton Risner,2019,2,41,DEN,OL,1.785571,12.0,6.720539256069907,1.2450980392156854,2016–2024
Elgton Jenkins,2019,2,44,GNB,OL,1.695655,19.0,11.205109529945656,8.245098039215685,2016–2024
Erik McCoy,2019,2,48,NOR,OL,1.522646,16.0,10.508023532718704,5.245098039215685,2016–2024
Max Scharping,2019,2,55,HOU,OL,1.267022,13.0,10.260279616297112,2.2450980392156854,2016–2024
Michael Deiter,2019,3,78,MIA,OL,0.953562,7.0,7.340896554183157,-3.0444444444444443,2016–2024
Nate Davis,2019,3,82,TEN,OL,0.925045,16.0,17.296455848093878,5.955555555555556,2016–2024
Connor McGovern,2019,3,90,DAL,OL,0.904527,15.0,16.583252904556748,8.38888888888889,2016–2024
Trey Pipkins,2019,3,91,LAC,OL,0.901894,6.0,6.652666499610819,-0.6111111111111107,2016–2024
Chuma Edoga,2019,3,92,NYJ,OL,0.89675,5.0,5.575689991636465,-1.6111111111111107,2016–2024
Bobby Evans,2019,3,97,LAR,OL,0.878473,4.0,4.5533556523649565,0.5,2016–2024
Yodny Cajuste,2019,3,101,NWE,OL,0.870545,0.0,0.0,-1.5,2016–2024
Andrew Thomas,2020,1,4,NYG,OL,8.086397,6.0,0.7419868205827639,-17.75,2016–2024
Jedrick Wills Jr.,2020,1,10,CLE,OL,,8.0,,-5.50877192982456,2016–2024
Mekhi Becton,2020,1,11,NYJ,OL,4.611512,4.0,0.8673944684519957,-9.50877192982456,2016–2024
Tristan Wirfs,2020,1,13,TAM,OL,4.057007,10.0,2.464871270865444,-3.50877192982456,2016–2024
Austin Jackson,2020,1,18,MIA,OL,3.410088,5.0,1.466237821428655,-8.50877192982456,2016–2024
Cesar Ruiz,2020,1,24,NOR,OL,3.1698,5.0,1.5773865859044736,-8.50877192982456,2016–2024
Isaiah Wilson,2020,1,29,TEN,OL,2.892096,0.0,0.0,-13.50877192982456,2016–2024
Robert Hunt,2020,2,39,MIA,OL,2.016436,5.0,2.4796224626023338,-5.754901960784315,2016–2024
Ezra Cleveland,2020,2,58,MIN,OL,1.384304,5.0,3.611923392549613,-5.754901960784315,2016–2024
Damien Lewis,2020,3,69,SEA,OL,1.225537,8.0,6.527750692145565,-2.0444444444444443,2016–2024
Josh Jones,2020,3,72,ARI,OL,1.209834,6.0,4.959358060692623,-4.044444444444444,2016–2024
Jonah Jackson,2020,3,75,DET,OL,1.187202,7.0,5.89621648211509,-3.0444444444444443,2016–2024
Matt Hennessy,2020,3,78,ATL,OL,1.171594,2.0,1.7070760007306285,-8.044444444444444,2016–2024
Lloyd Cushenberry III,2020,3,83,DEN,OL,,6.0,,-4.044444444444444,2016–2024
Lucas Niang,2020,3,96,KAN,OL,1.094604,0.0,0.0,-3.5,2016–2024
Matt Peart,2020,3,99,NYG,OL,1.08239,1.0,0.9238814105821376,-0.5,2016–2024
Tyre Phillips,2020,3,106,BAL,OL,1.031823,5.0,4.845792350044533,3.5,2016–2024
Penei Sewell,2021,1,7,DET,OL,6.024767,0.0,0.0,-18.33333333333333,2016–2024
Rashawn Slater,2021,1,13,LAC,OL,4.15794,0.0,0.0,-13.50877192982456,2016–2024
Alijah Vera-Tucker,2021,1,14,NYJ,OL,3.971259,0.0,0.0,-13.50877192982456,2016–2024
Alex Leatherwood,2021,1,17,LVR,OL,3.597891,0.0,0.0,-13.50877192982456,2016–2024
Christian Darrisaw,2021,1,23,MIN,OL,3.336537,0.0,0.0,-13.50877192982456,2016–2024
Landon Dickerson,2021,2,37,PHI,OL,2.164168,0.0,0.0,-10.754901960784316,2016–2024
Liam Eichenberg,2021,2,42,MIA,OL,2.003621,0.0,0.0,-10.754901960784316,2016–2024
Jackson Carman,2021,2,46,CIN,OL,1.86249,0.0,0.0,-10.754901960784316,2016–2024
Aaron Banks,2021,2,48,SFO,OL,1.768402,0.0,0.0,-10.754901960784316,2016–2024
Samuel Cosmi,2021,2,51,WAS,OL,1.656392,0.0,0.0,-10.754901960784316,2016–2024
Dillon Radunz,2021,2,53,TEN,OL,1.581719,0.0,0.0,-10.754901960784316,2016–2024
Josh Myers,2021,2,62,GNB,OL,1.395036,0.0,0.0,-10.754901960784316,2016–2024
Creed Humphrey,2021,2,63,KAN,OL,1.391302,0.0,0.0,-10.754901960784316,2016–2024
Jalen Mayfield,2021,3,68,ATL,OL,1.302003,0.0,0.0,-10.044444444444444,2016–2024
Brady Christensen,2021,3,70,CAR,OL,1.290821,0.0,0.0,-10.044444444444444,2016–2024
Wyatt Davis,2021,3,86,MIN,OL,1.221073,0.0,0.0,-6.611111111111111,2016–2024
Kendrick Green,2021,3,87,PIT,OL,1.218941,0.0,0.0,-6.611111111111111,2016–2024
Spencer Brown,2021,3,93,BUF,OL,0.811667,0.0,0.0,-6.611111111111111,2016–2024
Ben Cleveland,2021,3,94,BAL,OL,1.196796,0.0,0.0,-6.611111111111111,2016–2024
Robert Hainsey,2021,3,95,TAM,OL,1.191981,0.0,0.0,-6.611111111111111,2016–2024
Quinn Meinerz,2021,3,98,DEN,OL,1.179114,0.0,0.0,-1.5,2016–2024
Vince Young,2006,1,3,TEN,QB,,27.0,,-11.666666666666664,2006–2015
Matt Leinart,2006,1,10,ARI,QB,,12.0,,-16.0,2006–2015
Jay Cutler,2006,1,11,DEN,QB,5.685417,40.0,7.035543742877611,12.0,2006–2015
Kellen Clemens,2006,2,49,NYJ,QB,,3.0,,-5.0,2006–2015
Tarvaris Jackson,2006,2,64,MIN,QB,,13.0,,5.0,2006–2015
Charlie Whitehurst,2006,3,81,SDG,QB,0.5795,0.0,0.0,-8.0,2006–2015
Brodie Croyle,2006,3,85,KAN,QB,,2.0,,-6.0,2006–2015
JaMarcus Russell,2007,1,1,OAK,QB,10.166667,6.0,0.5901639150765929,-32.666666666666664,2006–2015
Brady Quinn,2007,1,22,CLE,QB,,3.0,,-20.4,2006–2015
Kevin Kolb,2007,2,36,PHI,QB,1.0825,5.0,4.618937644341801,-18.4,2006–2015
John Beck,2007,2,40,MIA,QB,,2.0,,-6.0,2006–2015
Drew Stanton,2007,2,43,DET,QB,0.85125,4.0,4.698972099853157,-4.0,2006–2015
Trent Edwards,2007,3,92,BUF,QB,,17.0,,9.0,2006–2015
Matt Ryan,2008,1,3,ATL,QB,11.25,55.0,4.888888888888889,16.333333333333336,2006–2015
Joe Flacco,2008,1,18,BAL,QB,4.76,49.0,10.294117647058824,21.0,2006–2015
Brian Brohm,2008,2,56,GNB,QB,,0.0,,-8.0,2006–2015
Chad Henne,2008,2,57,MIA,QB,0.857525,17.0,19.824494912684763,9.0,2006–2015
Kevin O'Connell,2008,3,94,NWE,QB,,0.0,,0.0,2006–2015
Matthew Stafford,2009,1,1,DET,QB,,34.0,,-4.666666666666664,2006–2015
Mark Sanchez,2009,1,5,NYJ,QB,9.5,28.0,2.9473684210526314,-1.25,2006–2015
Josh Freeman,2009,1,17,TAM,QB,2.7,36.0,13.333333333333332,8.0,2006–2015
Pat White,2009,2,44,MIA,QB,,1.0,,-7.0,2006–2015
Sam Bradford,2010,1,1,STL,QB,13.0,28.0,2.1538461538461537,-10.666666666666664,2006–2015
Tim Tebow,2010,1,25,DEN,QB,2.25,12.0,5.333333333333333,-11.4,2006–2015
Jimmy Clausen,2010,2,48,CAR,QB,,0.0,,-8.0,2006–2015
Colt McCoy,2010,3,85,CLE,QB,0.63525,9.0,14.167650531286895,1.0,2006–2015
Cam Newton,2011,1,1,CAR,QB,5.506375,63.0,11.441283966311774,24.333333333333336,2006–2015
Jake Locker,2011,1,8,TEN,QB,3.146501,16.0,5.085013480052922,-13.25,2006–2015
Blaine Gabbert,2011,1,10,JAX,QB,3.000412,8.0,2.6663004947320568,-20.0,2006–2015
Christian Ponder,2011,1,12,MIN,QB,2.539675,23.0,9.056276885822005,-5.0,2006–2015
Andy Dalton,2011,2,35,CIN,QB,1.30355,48.0,36.82252310996893,24.6,2006–2015
Colin Kaepernick,2011,2,36,SFO,QB,1.281074,36.0,28.101421151315225,12.6,2006–2015
Ryan Mallett,2011,3,74,NWE,QB,0.736957,1.0,1.3569312727879643,-7.0,2006–2015
Andrew Luck,2012,1,1,IND,QB,5.527,48.0,8.684639044689705,9.333333333333336,2006–2015
Robert Griffin III,2012,1,2,WAS,QB,5.279775,32.0,6.060864336074928,-6.666666666666664,2006–2015
Ryan Tannehill,2012,1,8,MIA,QB,3.167128,45.0,14.208456368040698,15.75,2006–2015
Brandon Weeden,2012,1,22,CLE,QB,2.020899,14.0,6.927609939932673,-9.4,2006–2015
Brock Osweiler,2012,2,57,DEN,QB,0.87917,5.0,5.687182228692972,-3.0,2006–2015
Russell Wilson,2012,3,75,SEA,QB,0.749194,71.0,94.76851122673166,63.0,2006–2015
Nick Foles,2012,3,88,PHI,QB,0.69213,23.0,33.23075144842732,15.0,2006–2015
EJ Manuel,2013,1,16,BUF,QB,2.221325,10.0,4.501817608859577,-18.0,2006–2015
Geno Smith,2013,2,39,NYJ,QB,1.254901,15.0,11.953134151618334,0.0,2006–2015
Mike Glennon,2013,3,73,TAM,QB,0.776016,11.0,14.174965464629594,3.0,2006–2015
Blake Bortles,2014,1,3,JAX,QB,5.163701,42.0,8.133701002439917,3.333333333333336,2006–2015
Johnny Manziel,2014,1,22,CLE,QB,2.062149,4.0,1.939724045158716,-19.4,2006–2015
Teddy Bridgewater,2014,1,32,MIN,QB,1.712376,23.0,13.43162950193182,-0.3999999999999986,2006–2015
Derek Carr,2014,2,36,OAK,QB,1.342951,40.0,29.78515225052888,16.6,2006–2015
Jimmy Garoppolo,2014,2,62,NWE,QB,0.870975,8.0,9.185108642613162,0.0,2006–2015
Jameis Winston,2015,1,1,TAM,QB,6.337819,44.0,6.942451338544064,5.333333333333336,2006–2015
Marcus Mariota,2015,1,2,TEN,QB,6.053494,43.0,7.103335693402852,4.333333333333336,2006–2015
Garrett Grayson,2015,3,75,NOR,QB,0.850152,0.0,0.0,-8.0,2006–2015
Sean Mannion,2015,3,89,STL,QB,0.812724,1.0,1.2304300106801325,-7.0,2006–2015
Jared Goff,2016,1,1,LAR,QB,6.984418,43.0,6.156561649088013,18.53333333333333,2016–2024
Carson Wentz,2016,1,2,PHI,QB,6.669085,44.0,6.597606718162987,19.53333333333333,2016–2024
Paxton Lynch,2016,1,26,DEN,QB,2.369077,2.0,0.8442106356188508,-15.833333333333332,2016–2024
Jacoby Brissett,2016,3,91,NWE,QB,0.852708,23.0,26.97289107173851,17.833333333333332,2016–2024
Cody Kessler,2016,3,93,CLE,QB,0.847271,5.0,5.901299584194431,0.0,2016–2024
Mitchell Trubisky,2017,1,2,CHI,QB,7.258109,35.0,4.822192667539162,10.533333333333331,2016–2024
Patrick Mahomes,2017,1,10,KAN,QB,4.106491,57.0,13.880463880232538,34.07142857142857,2016–2024
Deshaun Watson,2017,1,12,HOU,QB,3.463621,55.0,15.879335527761263,32.07142857142857,2016–2024
DeShone Kizer,2017,2,52,CLE,QB,1.237103,6.0,4.8500407807595645,0.0,2016–2024
C.J. Beathard,2017,3,104,SFO,QB,0.882162,8.0,9.068629118007804,3.5,2016–2024
Baker Mayfield,2018,1,1,CLE,QB,8.170745,32.0,3.916411538972272,7.533333333333331,2016–2024
Sam Darnold,2018,1,3,NYJ,QB,7.561924,16.0,2.1158636347046067,-6.928571428571427,2016–2024
Josh Allen,2018,1,7,BUF,QB,5.295759,47.0,8.875026223814187,24.071428571428573,2016–2024
Josh Rosen,2018,1,10,ARI,QB,4.39944,3.0,0.6819049697234193,-19.928571428571427,2016–2024
Lamar Jackson,2018,1,32,BAL,QB,2.367913,51.0,21.53795346366188,33.16666666666667,2016–2024
Mason Rudolph,2018,3,76,PIT,QB,0.980467,4.0,4.079688556575591,-1.166666666666667,2016–2024
Kyler Murray,2019,1,1,ARI,QB,8.789661,31.0,3.52687094530722,6.533333333333331,2016–2024
Daniel Jones,2019,1,6,NYG,QB,6.416014,18.0,2.8054801626056305,-4.928571428571427,2016–2024
Dwayne Haskins,2019,1,15,WAS,QB,3.604154,3.0,0.8323728675300778,-14.833333333333332,2016–2024
Drew Lock,2019,2,42,DEN,QB,1.752705,8.0,4.564373354329451,0.0,2016–2024
Will Grier,2019,3,100,CAR,QB,0.963249,1.0,1.038153167041959,-3.5,2016–2024
Joe Burrow,2020,1,1,CIN,QB,9.047534,7.0,0.773691483226258,-17.46666666666667,2016–2024
Tua Tagovailoa,2020,1,5,MIA,QB,7.568859,5.0,0.6606015517001969,-17.928571428571427,2016–2024
Justin Herbert,2020,1,6,LAC,QB,6.644689,13.0,1.9564497300024128,-9.928571428571429,2016–2024
Jordan Love,2020,1,26,GNB,QB,3.095868,0.0,0.0,-17.833333333333332,2016–2024
Jalen Hurts,2020,2,53,PHI,QB,1.506294,4.0,2.6555240875951176,-1.166666666666667,2016–2024
Trevor Lawrence,2021,1,1,JAX,QB,9.198372,0.0,0.0,-24.46666666666667,2016–2024
Zach Wilson,2021,1,2,NYJ,QB,8.787695,0.0,0.0,-24.46666666666667,2016–2024
Trey Lance,2021,1,3,SFO,QB,8.526315,0.0,0.0,-22.928571428571427,2016–2024
Justin Fields,2021,1,11,CHI,QB,4.717988,0.0,0.0,-22.928571428571427,2016–2024
Mac Jones,2021,1,15,NWE,QB,3.896585,0.0,0.0,-17.833333333333332,2016–2024
Kyle Trask,2021,2,64,TAM,QB,1.383834,0.0,0.0,-5.166666666666667,2016–2024
Kellen Mond,2021,3,66,MIN,QB,1.305853,0.0,0.0,-5.166666666666667,2016–2024
Davis Mills,2021,3,67,HOU,QB,1.305525,0.0,0.0,-5.166666666666667,2016–2024
Reggie Bush,2006,1,2,NOR,RB,8.75,36.0,4.114285714285714,0.0,2006–2015
Laurence Maroney,2006,1,21,NWE,RB,,26.0,,-6.714285714285715,2006–2015
DeAngelo Williams,2006,1,27,CAR,RB,5.275,34.0,6.4454976303317535,8.5,2006–2015
Joseph Addai,2006,1,30,IND,RB,,46.0,,21.75,2006–2015
LenDale White,2006,2,45,TEN,RB,,15.0,,-8.0,2006–2015
Maurice Jones-Drew,2006,2,60,JAX,RB,0.6975,49.0,70.25089605734767,30.70833333333333,2006–2015
Brian Calhoun,2006,3,74,DET,RB,,1.0,,-15.214285714285715,2006–2015
Jerious Norwood,2006,3,79,ATL,RB,,21.0,,4.785714285714285,2006–2015
Adrian Peterson,2007,1,7,MIN,RB,3.711,59.0,15.898679601185664,23.0,2006–2015
Marshawn Lynch,2007,1,12,BUF,RB,2.663,26.0,9.76342470897484,-6.714285714285715,2006–2015
Chris Henry,2007,2,50,TEN,RB,,7.0,,-11.291666666666668,2006–2015
Brian Leonard,2007,2,52,STL,RB,,6.0,,-12.291666666666668,2006–2015
Brandon Jackson,2007,2,63,GNB,RB,,17.0,,-0.9791666666666644,2006–2015
Lorenzo Booker,2007,3,71,MIA,RB,,3.0,,-14.979166666666664,2006–2015
Tony Hunt,2007,3,90,PHI,RB,,0.0,,-6.933333333333333,2006–2015
Garrett Wolfe,2007,3,93,CHI,RB,,2.0,,-4.933333333333333,2006–2015
Darren McFadden,2008,1,4,OAK,RB,7.002292,26.0,3.713069949096667,-10.0,2006–2015
Jonathan Stewart,2008,1,13,CAR,RB,2.725,28.0,10.275229357798164,-4.714285714285715,2006–2015
Felix Jones,2008,1,22,DAL,RB,,23.0,,-9.714285714285715,2006–2015
Rashard Mendenhall,2008,1,23,PIT,RB,1.971,26.0,13.191273465246068,-6.714285714285715,2006–2015
Chris Johnson,2008,1,24,TEN,RB,1.916002,62.0,32.35904764191269,29.285714285714285,2006–2015
Matt Forte,2008,2,44,CHI,RB,0.941625,45.0,47.789725209080046,22.0,2006–2015
Ray Rice,2008,2,55,BAL,RB,0.78975,53.0,67.10984488762267,34.70833333333333,2006–2015
Kevin Smith,2008,3,64,DET,RB,0.599964,19.0,31.668566780673505,1.0208333333333357,2006–2015
Jacob Hester,2008,3,69,SDG,RB,,6.0,,-11.979166666666664,2006–2015
Jamaal Charles,2008,3,73,KAN,RB,0.583333,31.0,53.14288751022144,13.020833333333336,2006–2015
Steve Slaton,2008,3,89,HOU,RB,,21.0,,4.785714285714285,2006–2015
