player_name,draft_year,team,pick,pos_group,av_y1_4,apy_m,roi,surplus,cluster
Chris Watt,2014,SDG,89,OL,5.0,0.70416,7.100658941149739,-6.266666666666666,1
Trai Turner,2014,CAR,92,OL,30.0,0.697868,42.988072242888336,18.73333333333333,0
Brandon Linder,2014,JAX,93,OL,19.0,0.6974,27.244049326068254,7.733333333333334,0
Michael Schofield,2014,DEN,95,OL,15.0,0.6943,21.604493734696817,5.5,1
Brandon Scherff,2015,WAS,5,OL,32.0,5.30391,6.033284878514152,2.7303921568627487,2
Ereck Flowers,2015,NYG,9,OL,22.0,3.597958,6.114579436447007,-7.269607843137251,3
Andrus Peat,2015,NOR,13,OL,33.0,2.848374,11.585557233705966,3.7303921568627487,3
Cameron Erving,2015,CLE,19,OL,18.0,2.357267,7.6359614757259155,-9.75,3
Cedric Ogbuehi,2015,CIN,21,OL,11.0,2.331421,4.718152577333737,-16.186666666666667,3
D.J. Humphries,2015,ARI,24,OL,11.0,2.228028,4.937101329067677,-16.186666666666667,3
Laken Tomlinson,2015,DET,28,OL,27.0,2.137562,12.6312125683372,-0.1866666666666674,3
Donovan Smith,2015,TAM,34,OL,30.0,1.517215,19.773071054530835,6.795138888888896,0
Mitch Morse,2015,KAN,49,OL,25.0,1.168271,21.399144547797555,1.7951388888888964,0
Jake Fisher,2015,CIN,53,OL,9.0,1.06488,8.451656524678837,-14.204861111111104,1
Rob Havenstein,2015,STL,57,OL,28.0,0.992505,28.211444778615725,4.795138888888896,0
Ty Sambrailo,2015,DEN,59,OL,10.0,0.961489,10.40053500352058,-11.866666666666667,1
Ali Marpet,2015,TAM,61,OL,26.0,0.943397,27.55997740081853,5.833333333333332,0
Jeremiah Poutasi,2015,TEN,66,OL,3.0,0.846461,3.54416801246602,-12.425925925925927,1
A.J. Cann,2015,JAX,67,OL,27.0,0.843149,32.0228097287668,11.574074074074073,0
Hroniss Grasu,2015,CHI,71,OL,7.0,0.814855,8.590485423787054,-8.425925925925927,1
Jamon Brown,2015,STL,72,OL,18.0,0.812744,22.14719518077033,2.5740740740740726,0
John Miller,2015,BUF,81,OL,21.0,0.76378,27.49482835371442,5.574074074074073,0
Chaz Green,2015,DAL,91,OL,5.0,0.737818,6.776738978989399,-6.266666666666666,1
Ronnie Stanley,2016,BAL,6,OL,38.0,5.121083,7.420305431487832,14.25,2
Jack Conklin,2016,TEN,8,OL,34.0,3.974415,8.554718115747852,15.666666666666668,2
Laremy Tunsil,2016,MIA,13,OL,28.0,3.114413,8.990458234023555,14.49122807017544,3
Taylor Decker,2016,DET,16,OL,25.0,2.741745,9.118280511134332,11.49122807017544,3
Ryan Kelly,2016,IND,18,OL,29.0,2.612747,11.09942906833306,15.49122807017544,0
Joshua Garnett,2016,SFO,28,OL,5.0,2.326078,2.1495409870176325,-8.50877192982456,3
Germain Ifedi,2016,SEA,31,OL,31.0,2.066277,15.00282875916443,17.49122807017544,0
Jason Spriggs,2016,GNB,48,OL,8.0,1.251075,6.39450072937274,-2.7549019607843146,1
Nick Martin,2016,HOU,50,OL,22.0,1.193743,18.42942743957452,11.245098039215684,0
Cody Whitehair,2016,CHI,56,OL,28.0,1.056142,26.51158651014731,17.245098039215684,0
Max Tuerk,2016,SDG,66,OL,0.0,0.894255,0.0,-10.044444444444444,1
Shon Coleman,2016,CLE,76,OL,6.0,0.819704,7.31971540946488,-4.044444444444444,1
Joe Thuney,2016,NWE,78,OL,38.0,0.803357,47.30151103432223,27.95555555555556,0
Isaac Seumalo,2016,PHI,79,OL,15.0,0.800216,18.744938866506043,4.955555555555556,1
Le'Raven Clark,2016,IND,82,OL,9.0,0.785683,11.455001571880771,-1.0444444444444445,1
Graham Glasgow,2016,DET,95,OL,27.0,0.75948,35.5506399115184,20.38888888888889,0
Rees Odhiambo,2016,SEA,97,OL,4.0,0.756855,5.285028175806461,0.5,1
Garett Bolles,2017,DEN,20,OL,28.0,2.758034,10.152159110438811,14.49122807017544,0
Ryan Ramczyk,2017,NOR,32,OL,54.0,2.222953,24.29201157199455,40.49122807017544,0
Cam Robinson,2017,JAX,34,OL,21.0,1.754532,11.969003700132,7.49122807017544,3
Forrest Lamp,2017,LAC,38,OL,9.0,1.666727,5.399804527076119,-1.7549019607843146,3
Ethan Pocic,2017,SEA,58,OL,16.0,1.102259,14.515644689678195,5.245098039215685,1
Dion Dawkins,2017,BUF,63,OL,25.0,1.045809,23.90493866470837,14.245098039215684,0
Taylor Moton,2017,CAR,64,OL,23.0,1.039538,22.12521331591534,12.245098039215684,0
Pat Elflein,2017,MIN,70,OL,25.0,0.93696,26.682035519125684,14.955555555555556,0
Dan Feeney,2017,LAC,71,OL,30.0,0.932908,32.15751178036848,19.95555555555556,0
Quenton Nelson,2018,IND,6,OL,45.0,5.972228,7.534876431375359,21.25,2
Mike McGlinchey,2018,SFO,9,OL,21.0,4.585469,4.579684215507727,2.666666666666668,2
Kolton Miller,2018,OAK,15,OL,21.0,3.367827,6.235474684418172,7.49122807017544,3
Frank Ragnow,2018,DET,20,OL,23.0,2.945035,7.809754383224648,9.49122807017544,3
Billy Price,2018,CIN,21,OL,10.0,2.928123,3.4151570818575587,-3.50877192982456,3
Isaiah Wynn,2018,NWE,23,OL,8.0,2.860478,2.796735370801663,-5.50877192982456,3
Austin Corbett,2018,CLE,33,OL,12.0,1.879599,6.384340489646994,-1.50877192982456,3
Will Hernandez,2018,NYG,34,OL,19.0,1.862685,10.200329094828165,5.49122807017544,3
Braden Smith,2018,IND,37,OL,22.0,1.798422,12.23294643860006,11.245098039215684,0
James Daniels,2018,CHI,39,OL,13.0,1.737539,7.481846450640821,2.2450980392156854,3
Connor Williams,2018,DAL,50,OL,18.0,1.372249,13.11715293652974,7.245098039215685,0
Brian O'Neill,2018,MIN,62,OL,21.0,1.10166,19.06214258482653,10.245098039215684,0
Brandon Parker,2018,OAK,65,OL,9.0,1.023834,8.790487520437884,-1.0444444444444445,1
Geron Christian,2018,WAS,74,OL,4.0,0.993091,4.027828265486245,-6.044444444444444,1
Martinas Rankin,2018,HOU,80,OL,7.0,0.886567,7.895624357775555,-3.0444444444444443,1
Joseph Noteboom,2018,LAR,89,OL,9.0,0.863011,10.428604038650723,2.3888888888888893,1
Chukwuma Okorafor,2018,PIT,92,OL,9.0,0.851841,10.56535198470137,2.3888888888888893,1
Alex Cappa,2018,TAM,94,OL,18.0,0.842176,21.37320465080933,11.38888888888889,0
Mason Cole,2018,ARI,97,OL,13.0,0.805379,16.141468799161636,9.5,1
Jonah Williams,2019,CIN,11,OL,4.0,4.407542,0.9075353110645344,-9.50877192982456,3
Chris Lindstrom,2019,ATL,14,OL,11.0,3.677189,2.991415453489065,-2.50877192982456,3
Garrett Bradbury,2019,MIN,18,OL,16.0,3.220718,4.967836364437992,2.49122807017544,3
Andre Dillard,2019,PHI,22,OL,3.0,3.092903,0.9699625238812856,-10.50877192982456,3
Tytus Howard,2019,HOU,23,OL,11.0,3.056388,3.5990194962157944,-2.50877192982456,3
Kaleb McGary,2019,ATL,31,OL,15.0,2.566436,5.844681106405926,1.49122807017544,3
Jawaan Taylor,2019,JAX,35,OL,13.0,1.960856,6.629757616061557,0.0,3
Greg Little,2019,CAR,37,OL,3.0,1.909731,1.570901870472857,-7.754901960784315,3
Cody Ford,2019,BUF,38,OL,9.0,1.876868,4.795222679485185,-1.7549019607843146,3
Dalton Risner,2019,DEN,41,OL,12.0,1.785571,6.720539256069907,1.2450980392156854,3
Elgton Jenkins,2019,GNB,44,OL,19.0,1.695655,11.205109529945656,8.245098039215685,3
Erik McCoy,2019,NOR,48,OL,16.0,1.522646,10.508023532718704,5.245098039215685,3
Max Scharping,2019,HOU,55,OL,13.0,1.267022,10.260279616297112,2.2450980392156854,1
Michael Deiter,2019,MIA,78,OL,7.0,0.953562,7.340896554183157,-3.0444444444444443,1
Nate Davis,2019,TEN,82,OL,16.0,0.925045,17.296455848093878,5.955555555555556,1
Connor McGovern,2019,DAL,90,OL,15.0,0.904527,16.583252904556748,8.38888888888889,1
Trey Pipkins,2019,LAC,91,OL,6.0,0.901894,6.652666499610819,-0.6111111111111107,1
Chuma Edoga,2019,NYJ,92,OL,5.0,0.89675,5.575689991636465,-1.6111111111111107,1
Bobby Evans,2019,LAR,97,OL,4.0,0.878473,4.5533556523649565,0.5,1
Yodny Cajuste,2019,NWE,101,OL,0.0,0.870545,0.0,-1.5,1
Andrew Thomas,2020,NYG,4,OL,6.0,8.086397,0.7419868205827639,-17.75,2
Mekhi Becton,2020,NYJ,11,OL,4.0,4.611512,0.8673944684519957,-9.50877192982456,3
Tristan Wirfs,2020,TAM,13,OL,10.0,4.057007,2.464871270865444,-3.50877192982456,3
Austin Jackson,2020,MIA,18,OL,5.0,3.410088,1.466237821428655,-8.50877192982456,3
Cesar Ruiz,2020,NOR,24,OL,5.0,3.1698,1.5773865859044736,-8.50877192982456,3
Isaiah Wilson,2020,TEN,29,OL,0.0,2.892096,0.0,-13.50877192982456,3
Robert Hunt,2020,MIA,39,OL,5.0,2.016436,2.4796224626023338,-5.754901960784315,3
Ezra Cleveland,2020,MIN,58,OL,5.0,1.384304,3.611923392549613,-5.754901960784315,1
Damien Lewis,2020,SEA,69,OL,8.0,1.225537,6.527750692145565,-2.0444444444444443,1
Josh Jones,2020,ARI,72,OL,6.0,1.209834,4.959358060692623,-4.044444444444444,1
Jonah Jackson,2020,DET,75,OL,7.0,1.187202,5.89621648211509,-3.0444444444444443,1
Matt Hennessy,2020,ATL,78,OL,2.0,1.171594,1.7070760007306285,-8.044444444444444,1
Lucas Niang,2020,KAN,96,OL,0.0,1.094604,0.0,-3.5,1
Matt Peart,2020,NYG,99,OL,1.0,1.08239,0.9238814105821376,-0.5,1
Tyre Phillips,2020,BAL,106,OL,5.0,1.031823,4.845792350044533,3.5,1
Penei Sewell,2021,DET,7,OL,0.0,6.024767,0.0,-18.33333333333333,3
Rashawn Slater,2021,LAC,13,OL,0.0,4.15794,0.0,-13.50877192982456,3
Alijah Vera-Tucker,2021,NYJ,14,OL,0.0,3.971259,0.0,-13.50877192982456,3
Alex Leatherwood,2021,LVR,17,OL,0.0,3.597891,0.0,-13.50877192982456,3
Christian Darrisaw,2021,MIN,23,OL,0.0,3.336537,0.0,-13.50877192982456,3
Landon Dickerson,2021,PHI,37,OL,0.0,2.164168,0.0,-10.754901960784316,3
Liam Eichenberg,2021,MIA,42,OL,0.0,2.003621,0.0,-10.754901960784316,3
Jackson Carman,2021,CIN,46,OL,0.0,1.86249,0.0,-10.754901960784316,1
Aaron Banks,2021,SFO,48,OL,0.0,1.768402,0.0,-10.754901960784316,1
Samuel Cosmi,2021,WAS,51,OL,0.0,1.656392,0.0,-10.754901960784316,1
Dillon Radunz,2021,TEN,53,OL,0.0,1.581719,0.0,-10.754901960784316,1
Josh Myers,2021,GNB,62,OL,0.0,1.395036,0.0,-10.754901960784316,1
Creed Humphrey,2021,KAN,63,OL,0.0,1.391302,0.0,-10.754901960784316,1
Jalen Mayfield,2021,ATL,68,OL,0.0,1.302003,0.0,-10.044444444444444,1
Brady Christensen,2021,CAR,70,OL,0.0,1.290821,0.0,-10.044444444444444,1
Wyatt Davis,2021,MIN,86,OL,0.0,1.221073,0.0,-6.611111111111111,1
Kendrick Green,2021,PIT,87,OL,0.0,1.218941,0.0,-6.611111111111111,1
Spencer Brown,2021,BUF,93,OL,0.0,0.811667,0.0,-6.611111111111111,1
Ben Cleveland,2021,BAL,94,OL,0.0,1.196796,0.0,-6.611111111111111,1
Robert Hainsey,2021,TAM,95,OL,0.0,1.191981,0.0,-6.611111111111111,1
Quinn Meinerz,2021,DEN,98,OL,0.0,1.179114,0.0,-1.5,1
Jay Cutler,2006,DEN,11,QB,40.0,5.685417,7.035543742877611,12.0,2
Charlie Whitehurst,2006,SDG,81,QB,0.0,0.5795,0.0,-8.0,1
JaMarcus Russell,2007,OAK,1,QB,6.0,10.166667,0.5901639150765929,-32.666666666666664,2
Kevin Kolb,2007,PHI,36,QB,5.0,1.0825,4.618937644341801,-18.4,3
Drew Stanton,2007,DET,43,QB,4.0,0.85125,4.698972099853157,-4.0,1
Matt Ryan,2008,ATL,3,QB,55.0,11.25,4.888888888888889,16.333333333333336,2
Joe Flacco,2008,BAL,18,QB,49.0,4.76,10.294117647058824,21.0,2
Chad Henne,2008,MIA,57,QB,17.0,0.857525,19.824494912684763,9.0,0
Mark Sanchez,2009,NYJ,5,QB,28.0,9.5,2.9473684210526314,-1.25,2
Josh Freeman,2009,TAM,17,QB,36.0,2.7,13.333333333333332,8.0,0
Sam Bradford,2010,STL,1,QB,28.0,13.0,2.1538461538461537,-10.666666666666664,2
Tim Tebow,2010,DEN,25,QB,12.0,2.25,5.333333333333333,-11.4,3
Colt McCoy,2010,CLE,85,QB,9.0,0.63525,14.167650531286895,1.0,1
Cam Newton,2011,CAR,1,QB,63.0,5.506375,11.441283966311774,24.333333333333336,2
Jake Locker,2011,TEN,8,QB,16.0,3.146501,5.085013480052922,-13.25,3
Blaine Gabbert,2011,JAX,10,QB,8.0,3.000412,2.6663004947320568,-20.0,3
Christian Ponder,2011,MIN,12,QB,23.0,2.539675,9.056276885822005,-5.0,3
Andy Dalton,2011,CIN,35,QB,48.0,1.30355,36.82252310996893,24.6,0
Colin Kaepernick,2011,SFO,36,QB,36.0,1.281074,28.101421151315225,12.6,0
Ryan Mallett,2011,NWE,74,QB,1.0,0.736957,1.3569312727879643,-7.0,1
Andrew Luck,2012,IND,1,QB,48.0,5.527,8.684639044689705,9.333333333333336,2
Robert Griffin III,2012,WAS,2,QB,32.0,5.279775,6.060864336074928,-6.666666666666664,2
Ryan Tannehill,2012,MIA,8,QB,45.0,3.167128,14.208456368040698,15.75,0
Brandon Weeden,2012,CLE,22,QB,14.0,2.020899,6.927609939932673,-9.4,3
Brock Osweiler,2012,DEN,57,QB,5.0,0.87917,5.687182228692972,-3.0,1
Russell Wilson,2012,SEA,75,QB,71.0,0.749194,94.76851122673166,63.0,0
Nick Foles,2012,PHI,88,QB,23.0,0.69213,33.23075144842732,15.0,0
EJ Manuel,2013,BUF,16,QB,10.0,2.221325,4.501817608859577,-18.0,3
Geno Smith,2013,NYJ,39,QB,15.0,1.254901,11.953134151618334,0.0,3
Mike Glennon,2013,TAM,73,QB,11.0,0.776016,14.174965464629594,3.0,1
Blake Bortles,2014,JAX,3,QB,42.0,5.163701,8.133701002439917,3.333333333333336,2
Johnny Manziel,2014,CLE,22,QB,4.0,2.062149,1.939724045158716,-19.4,3
Teddy Bridgewater,2014,MIN,32,QB,23.0,1.712376,13.43162950193182,-0.3999999999999986,3
Derek Carr,2014,OAK,36,QB,40.0,1.342951,29.78515225052888,16.6,0
Jimmy Garoppolo,2014,NWE,62,QB,8.0,0.870975,9.185108642613162,0.0,1
Jameis Winston,2015,TAM,1,QB,44.0,6.337819,6.942451338544064,5.333333333333336,2
Marcus Mariota,2015,TEN,2,QB,43.0,6.053494,7.103335693402852,4.333333333333336,2
Garrett Grayson,2015,NOR,75,QB,0.0,0.850152,0.0,-8.0,1
Sean Mannion,2015,STL,89,QB,1.0,0.812724,1.2304300106801325,-7.0,1
Jared Goff,2016,LAR,1,QB,43.0,6.984418,6.156561649088013,18.53333333333333,2
Carson Wentz,2016,PHI,2,QB,44.0,6.669085,6.597606718162987,19.53333333333333,2
Paxton Lynch,2016,DEN,26,QB,2.0,2.369077,0.8442106356188508,-15.833333333333332,3
Jacoby Brissett,2016,NWE,91,QB,23.0,0.852708,26.97289107173851,17.833333333333332,0
Cody Kessler,2016,CLE,93,QB,5.0,0.847271,5.901299584194431,0.0,1
Mitchell Trubisky,2017,CHI,2,QB,35.0,7.258109,4.822192667539162,10.533333333333331,2
Patrick Mahomes,2017,KAN,10,QB,57.0,4.106491,13.880463880232538,34.07142857142857,0
Deshaun Watson,2017,HOU,12,QB,55.0,3.463621,15.879335527761263,32.07142857142857,0
DeShone Kizer,2017,CLE,52,QB,6.0,1.237103,4.8500407807595645,0.0,1
C.J. Beathard,2017,SFO,104,QB,8.0,0.882162,9.068629118007804,3.5,1
Baker Mayfield,2018,CLE,1,QB,32.0,8.170745,3.916411538972272,7.533333333333331,2
Sam Darnold,2018,NYJ,3,QB,16.0,7.561924,2.1158636347046067,-6.928571428571427,2
Josh Allen,2018,BUF,7,QB,47.0,5.295759,8.875026223814187,24.071428571428573,2
Josh Rosen,2018,ARI,10,QB,3.0,4.39944,0.6819049697234193,-19.928571428571427,3
Lamar Jackson,2018,BAL,32,QB,51.0,2.367913,21.53795346366188,33.16666666666667,0
Mason Rudolph,2018,PIT,76,QB,4.0,0.980467,4.079688556575591,-1.166666666666667,1
Kyler Murray,2019,ARI,1,QB,31.0,8.789661,3.52687094530722,6.533333333333331,2
Daniel Jones,2019,NYG,6,QB,18.0,6.416014,2.8054801626056305,-4.928571428571427,2
Dwayne Haskins,2019,WAS,15,QB,3.0,3.604154,0.8323728675300778,-14.833333333333332,3
Drew Lock,2019,DEN,42,QB,8.0,1.752705,4.564373354329451,0.0,3
Will Grier,2019,CAR,100,QB,1.0,0.963249,1.038153167041959,-3.5,1
Joe Burrow,2020,CIN,1,QB,7.0,9.047534,0.773691483226258,-17.46666666666667,2
Tua Tagovailoa,2020,MIA,5,QB,5.0,7.568859,0.6606015517001969,-17.928571428571427,2
Justin Herbert,2020,LAC,6,QB,13.0,6.644689,1.9564497300024128,-9.928571428571429,2
Jordan Love,2020,GNB,26,QB,0.0,3.095868,0.0,-17.833333333333332,3
Jalen Hurts,2020,PHI,53,QB,4.0,1.506294,2.6555240875951176,-1.166666666666667,1
Trevor Lawrence,2021,JAX,1,QB,0.0,9.198372,0.0,-24.46666666666667,2
Zach Wilson,2021,NYJ,2,QB,0.0,8.787695,0.0,-24.46666666666667,2
Trey Lance,2021,SFO,3,QB,0.0,8.526315,0.0,-22.928571428571427,2
Justin Fields,2021,CHI,11,QB,0.0,4.717988,0.0,-22.928571428571427,3
Mac Jones,2021,NWE,15,QB,0.0,3.896585,0.0,-17.833333333333332,3
Kyle Trask,2021,TAM,64,QB,0.0,1.383834,0.0,-5.166666666666667,1
Kellen Mond,2021,MIN,66,QB,0.0,1.305853,0.0,-5.166666666666667,1
Davis Mills,2021,HOU,67,QB,0.0,1.305525,0.0,-5.166666666666667,1
Reggie Bush,2006,NOR,2,RB,36.0,8.75,4.114285714285714,0.0,2
DeAngelo Williams,2006,CAR,27,RB,34.0,5.275,6.4454976303317535,8.5,2
Maurice Jones-Drew,2006,JAX,60,RB,49.0,0.6975,70.25089605734767,30.70833333333333,0
Adrian Peterson,2007,MIN,7,RB,59.0,3.711,15.898679601185664,23.0,0
Marshawn Lynch,2007,BUF,12,RB,26.0,2.663,9.76342470897484,-6.714285714285715,3
Darren McFadden,2008,OAK,4,RB,26.0,7.002292,3.713069949096667,-10.0,2
Jonathan Stewart,2008,CAR,13,RB,28.0,2.725,10.275229357798164,-4.714285714285715,3
Rashard Mendenhall,2008,PIT,23,RB,26.0,1.971,13.191273465246068,-6.714285714285715,3
Chris Johnson,2008,TEN,24,RB,62.0,1.916002,32.35904764191269,29.285714285714285,0
Matt Forte,2008,CHI,44,RB,45.0,0.941625,47.789725209080046,22.0,0
Ray Rice,2008,BAL,55,RB,53.0,0.78975,67.10984488762267,34.70833333333333,0
Kevin Smith,2008,DET,64,RB,19.0,0.599964,31.668566780673505,1.0208333333333357,0
Jamaal Charles,2008,KAN,73,RB,31.0,0.583333,53.14288751022144,13.020833333333336,0
Knowshon Moreno,2009,DEN,12,RB,21.0,3.415,6.149341142020497,-11.714285714285715,3
Donald Brown,2009,IND,27,RB,17.0,1.927,8.822003113648158,-8.5,3
LeSean McCoy,2009,PHI,53,RB,38.0,0.869281,43.71428801503772,19.70833333333333,0
Shonn Greene,2009,NYJ,65,RB,21.0,0.66375,31.63841807909605,3.020833333333336,0
C.J. Spiller,2010,BUF,9,RB,30.0,4.860917,6.171675015228608,-6.0,2
Ryan Mathews,2010,SDG,12,RB,37.0,3.55725,10.401293133740952,4.285714285714285,2
Toby Gerhart,2010,MIN,51,RB,14.0,0.941625,14.86791450949157,-4.291666666666668,1
Mark Ingram,2011,NOR,28,RB,19.0,1.854188,10.247073112327335,-5.25,3
Ryan Williams,2011,ARI,38,RB,1.0,1.251858,0.7988126448846435,-22.0,3
Shane Vereen,2011,NWE,56,RB,17.0,0.865288,19.64663788241603,-1.291666666666668,1
Mikel Leshoure,2011,DET,57,RB,5.0,0.858545,5.823806556441421,-13.291666666666668,1
Daniel Thomas,2011,MIA,62,RB,12.0,0.809097,14.831349022428707,-5.979166666666664,1
DeMarco Murray,2011,DAL,71,RB,43.0,0.74336,57.84545845888937,25.020833333333336,0
Stevan Ridley,2011,NWE,73,RB,24.0,0.738375,32.50380904012189,6.020833333333336,0
Alex Green,2011,GNB,96,RB,5.0,0.644375,7.759456838021338,-1.933333333333333,1
Trent Richardson,2012,CLE,3,RB,18.0,5.122449,3.5139442091077924,-18.0,3
Doug Martin,2012,TAM,31,RB,31.0,1.696882,18.26880124840737,8.0,0
David Wilson,2012,NYG,32,RB,5.0,1.671126,2.991994619196877,-18.0,3
Isaiah Pead,2012,STL,50,RB,1.0,1.009525,0.990564869616899,-17.291666666666668,1
LaMichael James,2012,SFO,61,RB,2.0,0.829725,2.4104371930458885,-16.291666666666668,1
Ronnie Hillman,2012,DEN,67,RB,16.0,0.750208,21.32741852926122,-1.9791666666666643,1
Bernard Pierce,2012,BAL,84,RB,10.0,0.663986,15.060558505751628,-6.214285714285715,1
Giovani Bernard,2013,CIN,37,RB,30.0,1.313335,22.842610605824103,7.0,0
Le'Veon Bell,2013,PIT,48,RB,45.0,1.03015,43.68295879240888,22.0,0
Montee Ball,2013,DEN,58,RB,7.0,0.866082,8.082375571828072,-11.291666666666668,1
Eddie Lacy,2013,GNB,61,RB,36.0,0.848103,42.44767439803891,17.708333333333332,0
Christine Michael,2013,SEA,62,RB,9.0,0.843608,10.66846212933021,-8.979166666666664,1
Knile Davis,2013,KAN,96,RB,10.0,0.685254,14.59312897115522,3.0666666666666678,1
Bishop Sankey,2014,TEN,54,RB,6.0,0.960874,6.244315071487001,-12.291666666666668,1
Jeremy Hill,2014,CIN,55,RB,22.0,0.938401,23.4441352897109,3.708333333333332,0
Carlos Hyde,2014,SFO,57,RB,20.0,0.92042,21.72921057777971,1.708333333333332,0
Charles Sims,2014,TAM,69,RB,14.0,0.775773,18.046516184502423,-3.979166666666664,1
Tre Mason,2014,STL,75,RB,8.0,0.745235,10.7348688668675,-8.214285714285715,1
Terrance West,2014,CLE,94,RB,11.0,0.69585,15.808004598692248,4.066666666666667,1
Jerick McKinnon,2014,MIN,96,RB,23.0,0.69125,33.273056057866185,16.066666666666666,0
Todd Gurley,2015,STL,10,RB,47.0,3.455795,13.600343770391472,11.0,2
Melvin Gordon,2015,SDG,15,RB,36.0,2.667441,13.496081075457711,3.2857142857142847,3
T.J. Yeldon,2015,JAX,36,RB,20.0,1.478444,13.527735916950522,-3.0,3
Ameer Abdullah,2015,DET,54,RB,11.0,1.039032,10.586776923136153,-7.291666666666668,1
Tevin Coleman,2015,ATL,73,RB,27.0,0.804843,33.54691536113255,9.020833333333336,0
Duke Johnson,2015,CLE,77,RB,20.0,0.776273,25.76413194842536,3.7857142857142847,0
David Johnson,2015,ARI,86,RB,32.0,0.748218,42.76828410971134,15.785714285714285,0
Matt Jones,2015,WAS,95,RB,9.0,0.730354,12.322791413478944,2.0666666666666678,1
Ezekiel Elliott,2016,DAL,4,RB,51.0,6.239085,8.174275554828952,15.833333333333336,2
Derrick Henry,2016,TEN,45,RB,30.0,1.351983,22.18962812402227,14.316666666666666,0
Kenyan Drake,2016,MIA,73,RB,23.0,0.845315,27.208791988785244,11.0,0
C.J. Prosise,2016,SEA,90,RB,5.0,0.778116,6.425777133486523,-1.1428571428571432,1
Leonard Fournette,2017,JAX,4,RB,26.0,6.786894,3.830912933073656,-9.166666666666664,2
Christian McCaffrey,2017,CAR,8,RB,43.0,4.310326,9.976043575358338,7.833333333333336,2
Dalvin Cook,2017,MIN,41,RB,39.0,1.588328,24.55412232234148,23.316666666666663,0
Joe Mixon,2017,CIN,48,RB,28.0,1.362541,20.549840335079825,12.316666666666666,0
Alvin Kamara,2017,NOR,67,RB,54.0,0.964443,55.99086726742793,41.42857142857143,0
Kareem Hunt,2017,KAN,86,RB,36.0,0.821431,43.82595738412599,25.25,0
D'Onta Foreman,2017,HOU,89,RB,3.0,0.814996,3.680999661348031,-3.1428571428571432,1
James Conner,2017,PIT,105,RB,21.0,0.793822,26.45429327985367,14.857142857142858,0
Saquon Barkley,2018,NYG,2,RB,24.0,7.798688,3.077440718233631,-11.166666666666664,2
Rashaad Penny,2018,SEA,27,RB,7.0,2.691359,2.600916488658704,-8.683333333333334,3
Sony Michel,2018,NWE,31,RB,16.0,2.406674,6.648179188373664,0.3166666666666664,3
Nick Chubb,2018,CLE,35,RB,25.0,1.845774,13.544453437961527,9.316666666666666,0
Ronald Jones II,2018,TAM,38,RB,15.0,1.767982,8.48424927403107,-0.6833333333333336,3
Kerryon Johnson,2018,DET,43,RB,10.0,1.625925,6.150345188123684,-5.683333333333334,3
Derrius Guice,2018,WAS,59,RB,2.0,1.135484,1.7613634362087005,-10.571428571428571,1
Royce Freeman,2018,DEN,71,RB,9.0,0.985005,9.137009456804789,-3.0,1
Josh Jacobs,2019,OAK,24,RB,16.0,2.98335,5.363098530175809,0.3166666666666664,3
Miles Sanders,2019,PHI,53,RB,14.0,1.340058,10.44730899707326,1.4285714285714288,1
Darrell Henderson,2019,LAR,70,RB,5.0,1.053001,4.74833357233279,-7.0,1
David Montgomery,2019,CHI,73,RB,17.0,1.003845,16.93488536576862,5.0,1
Devin Singletary,2019,BUF,74,RB,14.0,0.9745,14.366341713699333,2.0,1
Damien Harris,2019,NWE,87,RB,5.0,0.907784,5.50791818318014,-1.1428571428571432,1
Alexander Mattison,2019,MIN,102,RB,8.0,0.867795,9.218767105134278,1.8571428571428568,1
Clyde Edwards-Helaire,2020,KAN,32,RB,8.0,2.705394,2.957055423350536,-7.683333333333334,3
D'Andre Swift,2020,DET,35,RB,6.0,2.13473,2.810659896099273,-9.683333333333334,3
Jonathan Taylor,2020,IND,41,RB,10.0,1.957289,5.109107546202937,-5.683333333333334,3
Cam Akers,2020,LAR,52,RB,4.0,1.543261,2.5919141350685333,-8.571428571428571,1
J.K. Dobbins,2020,BAL,55,RB,7.0,1.43236,4.887039571057555,-5.571428571428571,1
AJ Dillon,2020,GNB,62,RB,2.0,1.321458,1.5134798079091427,-10.571428571428571,1
Antonio Gibson,2020,WAS,66,RB,5.0,1.23316,4.054623893087677,-7.571428571428571,1
Ke'Shawn Vaughn,2020,TAM,76,RB,1.0,1.17711,0.8495382759470227,-9.75,1
Zack Moss,2020,BUF,86,RB,5.0,1.13052,4.422743516258005,-5.75,1
Darrynton Evans,2020,TEN,93,RB,1.0,1.10943,0.9013637633739848,-5.142857142857143,1
Najee Harris,2021,PIT,24,RB,0.0,3.261861,0.0,-15.683333333333334,3
Javonte Williams,2021,DEN,35,RB,0.0,2.216439,0.0,-15.683333333333334,3
Trey Sermon,2021,SFO,88,RB,0.0,1.218234,0.0,-6.142857142857143,1
Donte Whitner,2006,BUF,8,SECONDARY,20.0,3.84015,5.208129890759476,1.5277777777777786,3
Antonio Cromartie,2006,SDG,19,SECONDARY,30.0,1.725,17.391304347826086,11.52777777777778,0
Johnathan Joseph,2006,CIN,24,SECONDARY,22.0,1.64,13.414634146341465,3.5277777777777786,3
Danieal Manning,2006,CHI,42,SECONDARY,19.0,0.88375,21.4992927864215,3.566666666666668,0
Roman Harper,2006,NOR,43,SECONDARY,22.0,0.883625,24.897439524685247,6.566666666666668,0
